  0%|          | 0/1458 [00:00<?, ?it/s][transformers] Casting fp32 inputs back to torch.bfloat16 for flash-attn compatibility.
                                                    
{'loss': '0.2597', 'grad_norm': '0.4433', 'learning_rate': '5.3e-05', 'epoch': '1.523'}
{'loss': '0.1967', 'grad_norm': '0.4437', 'learning_rate': '5.244e-05', 'epoch': '1.533'}
{'loss': '0.2764', 'grad_norm': '0.4711', 'learning_rate': '5.187e-05', 'epoch': '1.543'}
{'loss': '0.2461', 'grad_norm': '0.5115', 'learning_rate': '5.13e-05', 'epoch': '1.554'}
{'loss': '0.2779', 'grad_norm': '0.3529', 'learning_rate': '5.074e-05', 'epoch': '1.564'}
{'loss': '0.238', 'grad_norm': '0.433', 'learning_rate': '5.017e-05', 'epoch': '1.574'}
{'loss': '0.2544', 'grad_norm': '0.3519', 'learning_rate': '4.96e-05', 'epoch': '1.585'}
{'loss': '0.2417', 'grad_norm': '0.4042', 'learning_rate': '4.904e-05', 'epoch': '1.595'}
{'loss': '0.268', 'grad_norm': '0.4127', 'learning_rate': '4.847e-05', 'epoch': '1.605'}
{'loss': '0.2066', 'grad_norm': '0.3741', 'learning_rate': '4.79e-05', 'epoch': '1.616'}
{'loss': '0.2683', 'grad_norm': '0.4537', 'learning_rate': '4.734e-05', 'epoch': '1.626'}
{'loss': '0.2471', 'grad_norm': '0.3784', 'learning_rate': '4.677e-05', 'epoch': '1.636'}
{'loss': '0.27', 'grad_norm': '0.4202', 'learning_rate': '4.62e-05', 'epoch': '1.646'}
{'loss': '0.2325', 'grad_norm': '0.3549', 'learning_rate': '4.564e-05', 'epoch': '1.657'}
{'loss': '0.22', 'grad_norm': '0.4127', 'learning_rate': '4.507e-05', 'epoch': '1.667'}
{'loss': '0.2065', 'grad_norm': '0.3753', 'learning_rate': '4.451e-05', 'epoch': '1.677'}
{'loss': '0.2291', 'grad_norm': '0.3693', 'learning_rate': '4.395e-05', 'epoch': '1.688'}
{'loss': '0.2551', 'grad_norm': '0.4058', 'learning_rate': '4.338e-05', 'epoch': '1.698'}
{'loss': '0.1848', 'grad_norm': '0.3616', 'learning_rate': '4.282e-05', 'epoch': '1.708'}
{'loss': '0.2542', 'grad_norm': '0.4048', 'learning_rate': '4.226e-05', 'epoch': '1.718'}
{'loss': '0.2899', 'grad_norm': '0.4916', 'learning_rate': '4.17e-05', 'epoch': '1.729'}
{'loss': '0.1959', 'grad_norm': '0.3672', 'learning_rate': '4.114e-05', 'epoch': '1.739'}
{'loss': '0.2564', 'grad_norm': '0.4556', 'learning_rate': '4.059e-05', 'epoch': '1.749'}
{'loss': '0.2731', 'grad_norm': '0.4595', 'learning_rate': '4.003e-05', 'epoch': '1.76'}
{'loss': '0.2191', 'grad_norm': '0.3899', 'learning_rate': '3.948e-05', 'epoch': '1.77'}
{'loss': '0.2096', 'grad_norm': '0.4139', 'learning_rate': '3.892e-05', 'epoch': '1.78'}
{'loss': '0.2359', 'grad_norm': '0.4809', 'learning_rate': '3.837e-05', 'epoch': '1.791'}
{'loss': '0.2523', 'grad_norm': '0.438', 'learning_rate': '3.782e-05', 'epoch': '1.801'}
{'loss': '0.2448', 'grad_norm': '0.4598', 'learning_rate': '3.727e-05', 'epoch': '1.811'}
{'loss': '0.2049', 'grad_norm': '0.3989', 'learning_rate': '3.672e-05', 'epoch': '1.821'}
{'loss': '0.2153', 'grad_norm': '0.4644', 'learning_rate': '3.618e-05', 'epoch': '1.832'}
{'loss': '0.2294', 'grad_norm': '0.4013', 'learning_rate': '3.563e-05', 'epoch': '1.842'}
{'loss': '0.2483', 'grad_norm': '0.4038', 'learning_rate': '3.509e-05', 'epoch': '1.852'}
{'loss': '0.2089', 'grad_norm': '0.385', 'learning_rate': '3.455e-05', 'epoch': '1.863'}
{'loss': '0.2423', 'grad_norm': '0.4657', 'learning_rate': '3.401e-05', 'epoch': '1.873'}
{'loss': '0.185', 'grad_norm': '0.4354', 'learning_rate': '3.347e-05', 'epoch': '1.883'}
{'loss': '0.2484', 'grad_norm': '0.3912', 'learning_rate': '3.294e-05', 'epoch': '1.893'}
{'loss': '0.2438', 'grad_norm': '0.383', 'learning_rate': '3.241e-05', 'epoch': '1.904'}
{'loss': '0.1711', 'grad_norm': '0.4065', 'learning_rate': '3.188e-05', 'epoch': '1.914'}
{'loss': '0.1965', 'grad_norm': '0.4086', 'learning_rate': '3.135e-05', 'epoch': '1.924'}
{'loss': '0.2067', 'grad_norm': '0.3341', 'learning_rate': '3.083e-05', 'epoch': '1.935'}
{'loss': '0.1901', 'grad_norm': '0.4648', 'learning_rate': '3.03e-05', 'epoch': '1.945'}
{'loss': '0.1964', 'grad_norm': '0.4082', 'learning_rate': '2.978e-05', 'epoch': '1.955'}
{'loss': '0.2189', 'grad_norm': '0.5098', 'learning_rate': '2.927e-05', 'epoch': '1.966'}
{'loss': '0.2019', 'grad_norm': '0.4653', 'learning_rate': '2.875e-05', 'epoch': '1.976'}
{'loss': '0.1864', 'grad_norm': '0.3351', 'learning_rate': '2.824e-05', 'epoch': '1.986'}
{'loss': '0.2183', 'grad_norm': '0.3779', 'learning_rate': '2.773e-05', 'epoch': '1.996'}
{'loss': '0.1746', 'grad_norm': '0.3695', 'learning_rate': '2.722e-05', 'epoch': '2.006'}
{'loss': '0.1617', 'grad_norm': '0.3976', 'learning_rate': '2.672e-05', 'epoch': '2.016'}
{'loss': '0.2177', 'grad_norm': '0.472', 'learning_rate': '2.622e-05', 'epoch': '2.027'}
{'loss': '0.1361', 'grad_norm': '0.3381', 'learning_rate': '2.572e-05', 'epoch': '2.037'}
{'loss': '0.1516', 'grad_norm': '0.3914', 'learning_rate': '2.523e-05', 'epoch': '2.047'}
{'loss': '0.1919', 'grad_norm': '0.4611', 'learning_rate': '2.474e-05', 'epoch': '2.058'}
{'loss': '0.1957', 'grad_norm': '0.5424', 'learning_rate': '2.425e-05', 'epoch': '2.068'}
{'loss': '0.1741', 'grad_norm': '0.4137', 'learning_rate': '2.377e-05', 'epoch': '2.078'}
{'loss': '0.1666', 'grad_norm': '0.4573', 'learning_rate': '2.329e-05', 'epoch': '2.089'}
{'loss': '0.1658', 'grad_norm': '0.4927', 'learning_rate': '2.281e-05', 'epoch': '2.099'}
{'loss': '0.1643', 'grad_norm': '0.3626', 'learning_rate': '2.233e-05', 'epoch': '2.109'}
{'loss': '0.1799', 'grad_norm': '0.4252', 'learning_rate': '2.186e-05', 'epoch': '2.119'}
{'loss': '0.1844', 'grad_norm': '0.4208', 'learning_rate': '2.14e-05', 'epoch': '2.13'}
{'loss': '0.2098', 'grad_norm': '0.3251', 'learning_rate': '2.093e-05', 'epoch': '2.14'}
{'loss': '0.1626', 'grad_norm': '0.3558', 'learning_rate': '2.047e-05', 'epoch': '2.15'}
{'loss': '0.1825', 'grad_norm': '0.4054', 'learning_rate': '2.002e-05', 'epoch': '2.161'}
{'loss': '0.18', 'grad_norm': '0.4071', 'learning_rate': '1.957e-05', 'epoch': '2.171'}
{'loss': '0.1818', 'grad_norm': '0.3971', 'learning_rate': '1.912e-05', 'epoch': '2.181'}
{'loss': '0.1823', 'grad_norm': '0.4132', 'learning_rate': '1.867e-05', 'epoch': '2.191'}
{'loss': '0.1959', 'grad_norm': '0.3862', 'learning_rate': '1.823e-05', 'epoch': '2.202'}
{'loss': '0.1675', 'grad_norm': '0.3534', 'learning_rate': '1.78e-05', 'epoch': '2.212'}
{'loss': '0.1801', 'grad_norm': '0.3873', 'learning_rate': '1.737e-05', 'epoch': '2.222'}
{'loss': '0.1859', 'grad_norm': '0.3873', 'learning_rate': '1.694e-05', 'epoch': '2.233'}
{'loss': '0.1657', 'grad_norm': '0.4513', 'learning_rate': '1.652e-05', 'epoch': '2.243'}
{'loss': '0.2058', 'grad_norm': '0.4131', 'learning_rate': '1.61e-05', 'epoch': '2.253'}
{'loss': '0.1619', 'grad_norm': '0.3718', 'learning_rate': '1.568e-05', 'epoch': '2.264'}
